gad7,who5,cesdr10,loc,swls,scs,recommended_plan
16,4,30,2,27,40,"Therapist, Meditation, Reading about the illness, Journaling"
17,73,28,11,21,49,"Therapist, Meditation, Reading about the illness, Journaling"
12,49,8,1,9,40,"Therapist, Meditation, Reading about the illness, Journaling"
18,85,20,19,21,18,"Therapist, Meditation, Reading about the illness, Journaling"
18,30,27,18,33,55,"Therapist, Meditation, Reading about the illness, Journaling"
17,38,18,2,17,24,"Therapist, Meditation, Reading about the illness, Journaling"
19,38,28,0,7,24,"Therapist, Meditation, Reading about the illness, Journaling"
16,37,0,20,10,55,"Therapist, Meditation, Reading about the illness, Journaling"
19,79,20,21,25,22,"Therapist, Meditation, Reading about the illness, Journaling"
18,56,23,17,19,52,"Therapist, Meditation, Reading about the illness, Journaling"
14,53,20,21,7,27,"Therapist, Meditation, Reading about the illness, Journaling"
17,71,15,5,16,35,"Therapist, Meditation, Reading about the illness, Journaling"
16,7,25,17,32,39,"Therapist, Meditation, Reading about the illness, Journaling"
3,62,25,16,13,44,"Therapist, Meditation, Reading about the illness, Journaling"
12,5,22,17,23,16,"Therapist, Meditation, Reading about the illness, Journaling"
16,4,29,22,28,44,"Therapist, Meditation, Reading about the illness, Journaling"
16,10,20,20,30,36,"Therapist, Meditation, Reading about the illness, Journaling"
17,97,20,8,7,12,"Therapist, Meditation, Reading about the illness, Journaling"
5,94,24,4,10,14,"Therapist, Meditation, Reading about the illness, Journaling"
19,73,29,18,21,32,"Therapist, Meditation, Reading about the illness, Journaling"
13,76,12,3,34,12,"Therapist, Meditation, Reading about the illness, Journaling"
16,38,7,1,26,14,"Therapist, Meditation, Reading about the illness, Journaling"
18,93,24,24,21,59,"Therapist, Meditation, Reading about the illness, Journaling"
14,74,21,18,11,49,"Therapist, Meditation, Reading about the illness, Journaling"
16,81,1,14,31,45,"Therapist, Meditation, Reading about the illness, Journaling"
5,29,14,22,14,28,"Therapist, Meditation, Reading about the illness, Journaling"
18,73,16,16,32,31,"Therapist, Meditation, Reading about the illness, Journaling"
1,76,21,10,15,59,"Therapist, Meditation, Reading about the illness, Journaling"
14,79,22,10,26,27,"Therapist, Meditation, Reading about the illness, Journaling"
18,95,2,2,31,40,"Therapist, Meditation, Reading about the illness, Journaling"
19,20,18,4,22,39,"Therapist, Meditation, Reading about the illness, Journaling"
21,4,0,8,16,37,"Therapist, Meditation, Reading about the illness, Journaling"
15,72,30,24,19,33,"Therapist, Meditation, Reading about the illness, Journaling"
10,25,20,3,5,19,"Therapist, Meditation, Reading about the illness, Journaling"
19,85,27,13,30,39,"Therapist, Meditation, Reading about the illness, Journaling"
1,55,30,18,11,14,"Therapist, Meditation, Reading about the illness, Journaling"
20,37,21,2,23,26,"Therapist, Meditation, Reading about the illness, Journaling"
4,56,6,16,11,33,"Therapist, Meditation, Reading about the illness, Journaling"
11,83,12,24,8,21,"Therapist, Meditation, Reading about the illness, Journaling"
19,85,3,1,19,19,"Therapist, Meditation, Reading about the illness, Journaling"
18,100,8,5,24,37,"Therapist, Meditation, Reading about the illness, Journaling"
17,69,12,4,29,44,"Therapist, Meditation, Reading about the illness, Journaling"
20,3,22,10,34,41,"Therapist, Meditation, Reading about the illness, Journaling"
8,30,18,7,9,47,"Therapist, Meditation, Reading about the illness, Journaling"
20,74,27,3,19,17,"Therapist, Meditation, Reading about the illness, Journaling"
20,61,18,24,6,26,"Therapist, Meditation, Reading about the illness, Journaling"
16,4,11,5,30,15,"Therapist, Meditation, Reading about the illness, Journaling"
0,89,20,13,10,48,"Therapist, Meditation, Reading about the illness, Journaling"
21,2,10,0,10,21,"Therapist, Meditation, Reading about the illness, Journaling"
16,1,27,19,5,48,"Therapist, Meditation, Reading about the illness, Journaling"
8,37,27,22,7,41,"Therapist, Meditation, Reading about the illness, Journaling"
4,77,21,20,28,22,"Therapist, Meditation, Reading about the illness, Journaling"
18,39,0,21,32,40,"Therapist, Meditation, Reading about the illness, Journaling"
8,84,22,4,9,30,"Therapist, Meditation, Reading about the illness, Journaling"
16,41,28,24,22,51,"Therapist, Meditation, Reading about the illness, Journaling"
7,37,18,0,27,26,"Therapist, Meditation, Reading about the illness, Journaling"
15,65,26,13,25,51,"Therapist, Meditation, Reading about the illness, Journaling"
6,66,5,6,23,19,"Therapist, Meditation, Reading about the illness, Journaling"
18,93,20,6,31,47,"Therapist, Meditation, Reading about the illness, Journaling"
15,26,4,22,5,15,"Therapist, Meditation, Reading about the illness, Journaling"
16,96,9,21,10,24,"Therapist, Meditation, Reading about the illness, Journaling"
3,55,19,14,33,19,"Therapist, Meditation, Reading about the illness, Journaling"
14,1,12,18,23,47,"Therapist, Meditation, Reading about the illness, Journaling"
17,10,23,9,12,49,"Therapist, Meditation, Reading about the illness, Journaling"
14,11,10,12,12,29,"Therapist, Meditation, Reading about the illness, Journaling"
21,75,30,11,8,59,"Therapist, Meditation, Reading about the illness, Journaling"
19,91,29,8,26,40,"Therapist, Meditation, Reading about the illness, Journaling"
8,0,26,13,9,32,"Therapist, Meditation, Reading about the illness, Journaling"
3,0,24,21,27,51,"Therapist, Meditation, Reading about the illness, Journaling"
21,73,8,19,29,37,"Therapist, Meditation, Reading about the illness, Journaling"
19,37,30,1,11,29,"Therapist, Meditation, Reading about the illness, Journaling"
16,50,30,21,28,36,"Therapist, Meditation, Reading about the illness, Journaling"
5,48,0,10,26,37,"Therapist, Meditation, Reading about the illness, Journaling"
20,83,20,8,21,31,"Therapist, Meditation, Reading about the illness, Journaling"
7,95,20,12,34,34,"Therapist, Meditation, Reading about the illness, Journaling"
18,28,29,16,17,40,"Therapist, Meditation, Reading about the illness, Journaling"
7,77,20,18,19,13,"Therapist, Meditation, Reading about the illness, Journaling"
15,50,5,3,5,19,"Therapist, Meditation, Reading about the illness, Journaling"
21,73,29,18,18,45,"Therapist, Meditation, Reading about the illness, Journaling"
17,64,27,24,27,14,"Therapist, Meditation, Reading about the illness, Journaling"
7,100,14,2,23,44,"Therapist, Meditation, Reading about the illness, Journaling"
16,77,27,23,18,54,"Therapist, Meditation, Reading about the illness, Journaling"
18,13,24,22,20,29,"Therapist, Meditation, Reading about the illness, Journaling"
6,18,24,15,33,30,"Therapist, Meditation, Reading about the illness, Journaling"
18,46,20,4,24,22,"Therapist, Meditation, Reading about the illness, Journaling"
1,11,22,19,9,48,"Therapist, Meditation, Reading about the illness, Journaling"
8,98,11,19,30,33,"Therapist, Meditation, Reading about the illness, Journaling"
15,58,27,13,27,43,"Therapist, Meditation, Reading about the illness, Journaling"
18,39,28,1,17,36,"Therapist, Meditation, Reading about the illness, Journaling"
21,25,23,12,6,34,"Therapist, Meditation, Reading about the illness, Journaling"
20,41,24,3,13,49,"Therapist, Meditation, Reading about the illness, Journaling"
4,75,29,22,25,53,"Therapist, Meditation, Reading about the illness, Journaling"
5,11,21,12,29,18,"Therapist, Meditation, Reading about the illness, Journaling"
15,61,27,13,6,54,"Therapist, Meditation, Reading about the illness, Journaling"
20,28,29,20,15,51,"Therapist, Meditation, Reading about the illness, Journaling"
3,98,26,21,6,58,"Therapist, Meditation, Reading about the illness, Journaling"
20,35,20,14,24,30,"Therapist, Meditation, Reading about the illness, Journaling"
17,97,30,8,30,13,"Therapist, Meditation, Reading about the illness, Journaling"
8,88,0,10,12,53,"Therapist, Meditation, Reading about the illness, Journaling"
2,43,24,18,34,49,"Therapist, Meditation, Reading about the illness, Journaling"
17,48,26,16,14,60,"Therapist, Meditation, Reading about the illness, Journaling"
15,94,27,20,21,34,"Therapist, Meditation, Reading about the illness, Journaling"
20,88,21,11,19,37,"Therapist, Meditation, Reading about the illness, Journaling"
14,70,15,16,27,37,"Therapist, Meditation, Reading about the illness, Journaling"
16,6,14,8,23,59,"Therapist, Meditation, Reading about the illness, Journaling"
17,38,23,2,22,53,"Therapist, Meditation, Reading about the illness, Journaling"
20,59,22,12,6,14,"Therapist, Meditation, Reading about the illness, Journaling"
16,14,26,23,21,15,"Therapist, Meditation, Reading about the illness, Journaling"
15,15,20,12,14,55,"Therapist, Meditation, Reading about the illness, Journaling"
2,12,30,12,22,43,"Therapist, Meditation, Reading about the illness, Journaling"
17,28,23,16,33,55,"Therapist, Meditation, Reading about the illness, Journaling"
18,29,29,24,35,50,"Therapist, Meditation, Reading about the illness, Journaling"
15,44,2,13,28,41,"Therapist, Meditation, Reading about the illness, Journaling"
16,47,24,0,25,57,"Therapist, Meditation, Reading about the illness, Journaling"
14,67,23,11,31,48,"Therapist, Meditation, Reading about the illness, Journaling"
17,55,26,13,28,22,"Therapist, Meditation, Reading about the illness, Journaling"
16,3,19,7,24,40,"Therapist, Meditation, Reading about the illness, Journaling"
19,97,29,24,30,52,"Therapist, Meditation, Reading about the illness, Journaling"
2,4,24,21,19,34,"Therapist, Meditation, Reading about the illness, Journaling"
17,60,20,9,7,29,"Therapist, Meditation, Reading about the illness, Journaling"
17,12,25,23,33,58,"Therapist, Meditation, Reading about the illness, Journaling"
3,10,21,8,28,14,"Therapist, Meditation, Reading about the illness, Journaling"
8,75,1,9,13,26,"Therapist, Meditation, Reading about the illness, Journaling"
19,87,21,14,10,19,"Therapist, Meditation, Reading about the illness, Journaling"
16,59,24,15,17,39,"Therapist, Meditation, Reading about the illness, Journaling"
16,95,12,18,30,14,"Therapist, Meditation, Reading about the illness, Journaling"
1,5,20,23,23,27,"Therapist, Meditation, Reading about the illness, Journaling"
15,40,15,12,15,56,"Therapist, Meditation, Reading about the illness, Journaling"
16,37,26,6,9,54,"Therapist, Meditation, Reading about the illness, Journaling"
15,41,22,9,15,41,"Therapist, Meditation, Reading about the illness, Journaling"
16,65,26,12,18,38,"Therapist, Meditation, Reading about the illness, Journaling"
15,59,1,23,17,46,"Therapist, Meditation, Reading about the illness, Journaling"
18,95,29,1,35,39,"Therapist, Meditation, Reading about the illness, Journaling"
20,67,25,19,8,15,"Therapist, Meditation, Reading about the illness, Journaling"
16,9,20,21,5,33,"Therapist, Meditation, Reading about the illness, Journaling"
17,98,23,19,33,23,"Therapist, Meditation, Reading about the illness, Journaling"
10,74,22,22,30,45,"Therapist, Meditation, Reading about the illness, Journaling"
3,38,12,14,27,40,"Therapist, Meditation, Reading about the illness, Journaling"
18,21,23,10,31,14,"Therapist, Meditation, Reading about the illness, Journaling"
18,20,28,14,20,48,"Therapist, Meditation, Reading about the illness, Journaling"
20,2,24,0,30,49,"Therapist, Meditation, Reading about the illness, Journaling"
2,23,24,11,22,26,"Therapist, Meditation, Reading about the illness, Journaling"
7,16,24,20,12,26,"Therapist, Meditation, Reading about the illness, Journaling"
17,92,22,11,25,35,"Therapist, Meditation, Reading about the illness, Journaling"
17,24,14,13,11,28,"Therapist, Meditation, Reading about the illness, Journaling"
18,47,5,24,32,33,"Therapist, Meditation, Reading about the illness, Journaling"
19,10,27,12,21,19,"Therapist, Meditation, Reading about the illness, Journaling"
17,37,30,10,17,36,"Therapist, Meditation, Reading about the illness, Journaling"
20,85,30,18,28,52,"Therapist, Meditation, Reading about the illness, Journaling"
13,53,15,21,32,31,"Therapist, Meditation, Reading about the illness, Journaling"
7,96,27,1,5,44,"Therapist, Meditation, Reading about the illness, Journaling"
20,25,19,21,11,13,"Therapist, Meditation, Reading about the illness, Journaling"
16,14,21,1,14,55,"Therapist, Meditation, Reading about the illness, Journaling"
10,5,26,8,10,20,"Therapist, Meditation, Reading about the illness, Journaling"
8,71,27,17,32,31,"Therapist, Meditation, Reading about the illness, Journaling"
6,5,23,21,30,14,"Therapist, Meditation, Reading about the illness, Journaling"
9,11,17,22,16,24,"Therapist, Meditation, Reading about the illness, Journaling"
18,99,22,12,12,40,"Therapist, Meditation, Reading about the illness, Journaling"
21,81,11,5,22,30,"Therapist, Meditation, Reading about the illness, Journaling"
8,73,27,18,7,40,"Therapist, Meditation, Reading about the illness, Journaling"
14,48,11,20,35,35,"Therapist, Meditation, Reading about the illness, Journaling"
3,59,23,23,22,60,"Therapist, Meditation, Reading about the illness, Journaling"
15,97,20,3,6,26,"Therapist, Meditation, Reading about the illness, Journaling"
20,57,22,21,33,23,"Therapist, Meditation, Reading about the illness, Journaling"
17,98,20,7,8,59,"Therapist, Meditation, Reading about the illness, Journaling"
16,1,13,22,9,16,"Therapist, Meditation, Reading about the illness, Journaling"
8,13,27,23,11,36,"Therapist, Meditation, Reading about the illness, Journaling"
21,88,26,24,32,13,"Therapist, Meditation, Reading about the illness, Journaling"
19,75,7,23,8,56,"Therapist, Meditation, Reading about the illness, Journaling"
10,13,25,15,14,40,"Therapist, Meditation, Reading about the illness, Journaling"
8,7,19,10,16,12,"Therapist, Meditation, Reading about the illness, Journaling"
21,36,24,14,9,23,"Therapist, Meditation, Reading about the illness, Journaling"
16,27,27,14,19,17,"Therapist, Meditation, Reading about the illness, Journaling"
19,72,1,4,24,37,"Therapist, Meditation, Reading about the illness, Journaling"
2,58,20,4,5,60,"Therapist, Meditation, Reading about the illness, Journaling"
18,87,20,10,34,45,"Therapist, Meditation, Reading about the illness, Journaling"
6,42,14,17,27,55,"Therapist, Meditation, Reading about the illness, Journaling"
21,51,12,15,22,53,"Therapist, Meditation, Reading about the illness, Journaling"
16,7,22,5,9,58,"Therapist, Meditation, Reading about the illness, Journaling"
1,89,26,10,14,41,"Therapist, Meditation, Reading about the illness, Journaling"
16,75,27,7,29,57,"Therapist, Meditation, Reading about the illness, Journaling"
15,13,15,20,20,16,"Therapist, Meditation, Reading about the illness, Journaling"
20,63,21,5,35,20,"Therapist, Meditation, Reading about the illness, Journaling"
15,76,28,8,15,15,"Therapist, Meditation, Reading about the illness, Journaling"
20,18,5,5,6,29,"Therapist, Meditation, Reading about the illness, Journaling"
21,0,10,23,34,18,"Therapist, Meditation, Reading about the illness, Journaling"
14,70,29,14,25,30,"Therapist, Meditation, Reading about the illness, Journaling"
0,34,16,11,10,37,"Therapist, Meditation, Reading about the illness, Journaling"
20,45,21,8,7,32,"Therapist, Meditation, Reading about the illness, Journaling"
16,92,20,24,16,16,"Therapist, Meditation, Reading about the illness, Journaling"
4,14,3,10,20,34,"Therapist, Meditation, Reading about the illness, Journaling"
16,20,30,22,15,27,"Therapist, Meditation, Reading about the illness, Journaling"
18,74,23,18,19,15,"Therapist, Meditation, Reading about the illness, Journaling"
20,67,13,15,25,57,"Therapist, Meditation, Reading about the illness, Journaling"
14,15,27,9,8,41,"Therapist, Meditation, Reading about the illness, Journaling"
15,88,29,10,11,42,"Therapist, Meditation, Reading about the illness, Journaling"
21,62,26,23,21,53,"Therapist, Meditation, Reading about the illness, Journaling"
3,6,21,21,5,55,"Therapist, Meditation, Reading about the illness, Journaling"
9,21,12,21,25,33,"Therapist, Meditation, Reading about the illness, Journaling"
16,87,9,24,33,53,"Therapist, Meditation, Reading about the illness, Journaling"
15,67,4,17,28,30,"Therapist, Meditation, Reading about the illness, Journaling"
21,18,21,3,14,44,"Therapist, Meditation, Reading about the illness, Journaling"
4,97,2,0,27,32,"Therapist, Meditation, Reading about the illness, Journaling"
15,91,2,6,15,21,"Therapist, Meditation, Reading about the illness, Journaling"
12,1,28,2,11,32,"Therapist, Meditation, Reading about the illness, Journaling"
16,40,6,16,15,50,"Therapist, Meditation, Reading about the illness, Journaling"
13,41,25,6,17,57,"Therapist, Meditation, Reading about the illness, Journaling"
4,72,22,7,5,17,"Therapist, Meditation, Reading about the illness, Journaling"
3,1,27,4,16,38,"Therapist, Meditation, Reading about the illness, Journaling"
20,43,22,2,26,17,"Therapist, Meditation, Reading about the illness, Journaling"
11,34,20,1,27,41,"Therapist, Meditation, Reading about the illness, Journaling"
21,68,23,12,33,42,"Therapist, Meditation, Reading about the illness, Journaling"
21,54,28,15,16,28,"Therapist, Meditation, Reading about the illness, Journaling"
7,91,26,18,12,16,"Therapist, Meditation, Reading about the illness, Journaling"
18,20,29,19,10,33,"Therapist, Meditation, Reading about the illness, Journaling"
6,15,24,11,10,45,"Therapist, Meditation, Reading about the illness, Journaling"
3,65,17,8,25,13,"Therapist, Meditation, Reading about the illness, Journaling"
15,51,22,22,30,15,"Therapist, Meditation, Reading about the illness, Journaling"
20,14,30,21,32,48,"Therapist, Meditation, Reading about the illness, Journaling"
11,37,29,17,17,46,"Therapist, Meditation, Reading about the illness, Journaling"
16,66,25,15,11,25,"Therapist, Meditation, Reading about the illness, Journaling"
20,1,26,2,22,25,"Therapist, Meditation, Reading about the illness, Journaling"
16,53,28,0,8,42,"Therapist, Meditation, Reading about the illness, Journaling"
13,2,23,2,13,17,"Therapist, Meditation, Reading about the illness, Journaling"
20,97,20,3,29,26,"Therapist, Meditation, Reading about the illness, Journaling"
18,17,23,5,33,54,"Therapist, Meditation, Reading about the illness, Journaling"
18,4,30,18,6,21,"Therapist, Meditation, Reading about the illness, Journaling"
10,78,27,8,27,30,"Therapist, Meditation, Reading about the illness, Journaling"
20,6,29,15,20,44,"Therapist, Meditation, Reading about the illness, Journaling"
21,51,4,19,8,49,"Therapist, Meditation, Reading about the illness, Journaling"
4,6,22,21,18,18,"Therapist, Meditation, Reading about the illness, Journaling"
20,1,26,20,26,49,"Therapist, Meditation, Reading about the illness, Journaling"
9,38,27,4,5,24,"Therapist, Meditation, Reading about the illness, Journaling"
17,81,24,4,17,43,"Therapist, Meditation, Reading about the illness, Journaling"
2,62,10,20,24,37,"Therapist, Meditation, Reading about the illness, Journaling"
1,81,27,7,7,52,"Therapist, Meditation, Reading about the illness, Journaling"
19,41,20,12,21,52,"Therapist, Meditation, Reading about the illness, Journaling"
8,59,21,15,33,44,"Therapist, Meditation, Reading about the illness, Journaling"
16,20,7,10,27,45,"Therapist, Meditation, Reading about the illness, Journaling"
21,59,20,22,28,56,"Therapist, Meditation, Reading about the illness, Journaling"
11,7,24,12,12,34,"Therapist, Meditation, Reading about the illness, Journaling"
19,23,22,16,9,31,"Therapist, Meditation, Reading about the illness, Journaling"
16,10,3,19,19,30,"Therapist, Meditation, Reading about the illness, Journaling"
18,4,25,4,34,43,"Therapist, Meditation, Reading about the illness, Journaling"
9,91,15,16,35,19,"Therapist, Meditation, Reading about the illness, Journaling"
15,66,21,16,8,15,"Therapist, Meditation, Reading about the illness, Journaling"
15,61,26,17,14,32,"Therapist, Meditation, Reading about the illness, Journaling"
7,52,12,15,32,45,"Therapist, Meditation, Reading about the illness, Journaling"
14,54,17,8,29,51,"Therapist, Meditation, Reading about the illness, Journaling"
17,84,23,11,23,57,"Therapist, Meditation, Reading about the illness, Journaling"
20,38,29,16,16,52,"Therapist, Meditation, Reading about the illness, Journaling"
19,7,24,13,12,57,"Therapist, Meditation, Reading about the illness, Journaling"
18,21,21,10,29,33,"Therapist, Meditation, Reading about the illness, Journaling"
19,84,28,14,24,38,"Therapist, Meditation, Reading about the illness, Journaling"
21,43,27,12,26,54,"Therapist, Meditation, Reading about the illness, Journaling"
15,18,25,22,33,41,"Therapist, Meditation, Reading about the illness, Journaling"
21,7,24,9,30,27,"Therapist, Meditation, Reading about the illness, Journaling"
18,3,20,7,7,43,"Therapist, Meditation, Reading about the illness, Journaling"
16,20,9,13,11,38,"Therapist, Meditation, Reading about the illness, Journaling"
8,35,8,21,14,37,"Therapist, Meditation, Reading about the illness, Journaling"
18,33,28,20,29,31,"Therapist, Meditation, Reading about the illness, Journaling"
18,55,25,18,9,15,"Therapist, Meditation, Reading about the illness, Journaling"
3,98,27,4,10,32,"Therapist, Meditation, Reading about the illness, Journaling"
6,45,5,3,32,56,"Therapist, Meditation, Reading about the illness, Journaling"
6,2,13,23,9,27,"Therapist, Meditation, Reading about the illness, Journaling"
19,33,27,17,23,42,"Therapist, Meditation, Reading about the illness, Journaling"
18,82,13,21,28,56,"Therapist, Meditation, Reading about the illness, Journaling"
16,63,23,18,20,56,"Therapist, Meditation, Reading about the illness, Journaling"
16,62,17,19,21,39,"Therapist, Meditation, Reading about the illness, Journaling"
17,44,25,0,21,17,"Therapist, Meditation, Reading about the illness, Journaling"
21,46,5,13,32,22,"Therapist, Meditation, Reading about the illness, Journaling"
16,60,28,9,22,14,"Therapist, Meditation, Reading about the illness, Journaling"
16,69,25,16,31,56,"Therapist, Meditation, Reading about the illness, Journaling"
17,25,13,18,9,40,"Therapist, Meditation, Reading about the illness, Journaling"
19,63,29,4,8,17,"Therapist, Meditation, Reading about the illness, Journaling"
20,34,21,0,28,47,"Therapist, Meditation, Reading about the illness, Journaling"
20,59,11,24,35,31,"Therapist, Meditation, Reading about the illness, Journaling"
18,29,23,21,32,18,"Therapist, Meditation, Reading about the illness, Journaling"
13,15,15,21,35,53,"Therapist, Meditation, Reading about the illness, Journaling"
20,99,12,23,15,31,"Therapist, Meditation, Reading about the illness, Journaling"
17,49,3,0,31,18,"Therapist, Meditation, Reading about the illness, Journaling"
14,74,23,19,28,26,"Therapist, Meditation, Reading about the illness, Journaling"
19,13,11,24,9,32,"Therapist, Meditation, Reading about the illness, Journaling"
2,87,24,16,23,36,"Therapist, Meditation, Reading about the illness, Journaling"
18,32,8,17,25,15,"Therapist, Meditation, Reading about the illness, Journaling"
6,80,20,23,33,45,"Therapist, Meditation, Reading about the illness, Journaling"
10,48,21,16,6,17,"Therapist, Meditation, Reading about the illness, Journaling"
1,4,20,1,26,59,"Therapist, Meditation, Reading about the illness, Journaling"
9,50,15,6,26,23,"Therapist, Meditation, Reading about the illness, Journaling"
7,9,26,2,23,60,"Therapist, Meditation, Reading about the illness, Journaling"
6,67,29,13,24,33,"Therapist, Meditation, Reading about the illness, Journaling"
7,91,25,13,31,52,"Therapist, Meditation, Reading about the illness, Journaling"
18,24,21,23,34,14,"Therapist, Meditation, Reading about the illness, Journaling"
15,5,2,6,24,34,"Therapist, Meditation, Reading about the illness, Journaling"
16,50,4,10,28,23,"Therapist, Meditation, Reading about the illness, Journaling"
18,100,23,20,12,20,"Therapist, Meditation, Reading about the illness, Journaling"
15,41,21,19,10,23,"Therapist, Meditation, Reading about the illness, Journaling"
15,26,22,17,15,51,"Therapist, Meditation, Reading about the illness, Journaling"
18,100,7,15,15,48,"Therapist, Meditation, Reading about the illness, Journaling"
5,31,22,8,16,22,"Therapist, Meditation, Reading about the illness, Journaling"
15,20,22,12,6,15,"Therapist, Meditation, Reading about the illness, Journaling"
16,26,22,4,29,14,"Therapist, Meditation, Reading about the illness, Journaling"
15,4,29,2,33,39,"Therapist, Meditation, Reading about the illness, Journaling"
18,82,25,11,29,22,"Therapist, Meditation, Reading about the illness, Journaling"
